# 
# simt, lat, lon
37.50000000,51.70609683,5.79695764
38.00000000,51.70631547,5.79564487
38.50000000,51.70653409,5.79433208
39.00000000,51.70675270,5.79301928
39.50000000,51.70697130,5.79170647
40.00000000,51.70718988,5.79039365
40.50000000,51.70740845,5.78908081
41.00000000,51.70762700,5.78776796
41.50000000,51.70784554,5.78645510
42.00000000,51.70806406,5.78514223
42.50000000,51.70828257,5.78382934
43.00000000,51.70850106,5.78251644
43.50000000,51.70871954,5.78120353
44.00000000,51.70893800,5.77989061
44.50000000,51.70915645,5.77857767
45.00000000,51.70937489,5.77726472
45.50000000,51.70959331,5.77595176
46.00000000,51.70981172,5.77463878
46.50000000,51.71003011,5.77332579
47.00000000,51.71024848,5.77201279
47.50000000,51.71046684,5.77069978
48.00000000,51.71068519,5.76938675
48.50000000,51.71090352,5.76807371
49.00000000,51.71112184,5.76676066
49.50000000,51.71134014,5.76544760
50.00000000,51.71155843,5.76413452
50.50000000,51.71177671,5.76282143
51.00000000,51.71199497,5.76150833
51.50000000,51.71221321,5.76019521
52.00000000,51.71243144,5.75888209
52.50000000,51.71264966,5.75756895
53.00000000,51.71286786,5.75625579
53.50000000,51.71308604,5.75494263
54.00000000,51.71330421,5.75362945
54.50000000,51.71352237,5.75231626
55.00000000,51.71374051,5.75100305
55.50000000,51.71395864,5.74968984
56.00000000,51.71417675,5.74837661
56.50000000,51.71439485,5.74706337
57.00000000,51.71461293,5.74575011
57.50000000,51.71483100,5.74443685
58.00000000,51.71504906,5.74312357
58.50000000,51.71526710,5.74181027
59.00000000,51.71548512,5.74049697
59.50000000,51.71570313,5.73918365
60.00000000,51.71592113,5.73787032
60.50000000,51.71613911,5.73655698
61.00000000,51.71635707,5.73524362
61.50000000,51.71657502,5.73393025
62.00000000,51.71679296,5.73261687
62.50000000,51.71701088,5.73130348
63.00000000,51.71723140,5.72999121
63.50000000,51.71746090,5.72868296
64.00000000,51.71769964,5.72737902
64.50000000,51.71794760,5.72607956
65.00000000,51.71820473,5.72478475
65.50000000,51.71847101,5.72349475
